Week,Sydney siege,Charlie Hebdo,Charleston shooting,Ankara bombing,San Bernadino,Jakarta bombing,Baghdad bombing,Brussels,Nice attack,Pressure cooker bomb,Istanbul bombing,Manchester bombing,Kabul bombing,London attack,Vegas shooting
7/12/14,0,0,0,0,1,0,1,6,0,1,0,0,2,0,0
14/12/14,100,0,0,0,1,0,1,5,0,1,0,0,1,0,0
21/12/14,3,0,0,0,1,0,1,5,0,1,0,0,0,0,0
28/12/14,1,0,0,0,1,0,0,5,0,1,0,0,1,0,0
4/1/15,1,100,0,0,1,0,1,5,0,3,4,0,0,1,0
11/1/15,1,53,0,0,1,0,1,6,0,1,1,0,0,0,0
18/1/15,1,10,0,0,1,0,0,6,0,1,0,0,0,0,0
25/1/15,1,3,0,0,1,0,1,6,0,1,0,0,0,0,0
1/2/15,1,2,0,0,1,0,0,6,0,1,0,0,0,0,0
8/2/15,2,1,0,0,2,0,1,6,0,1,0,0,1,0,0
15/2/15,1,1,0,0,1,0,1,6,0,1,0,0,0,0,0
22/2/15,1,2,0,0,1,0,1,5,0,1,0,0,1,0,0
1/3/15,0,1,0,0,1,0,0,6,0,1,0,0,0,0,0
8/3/15,0,1,0,0,1,0,0,6,0,2,0,0,0,0,0
15/3/15,0,1,0,0,1,0,1,6,0,3,0,0,1,0,0
22/3/15,0,1,0,0,1,0,1,6,0,2,0,0,0,0,0
29/3/15,0,1,0,0,1,0,1,6,0,2,0,0,1,0,0
5/4/15,0,1,8,0,2,0,0,6,0,6,0,0,0,0,0
12/4/15,0,1,1,0,1,0,1,6,0,1,0,0,0,0,0
19/4/15,0,1,0,0,1,0,1,6,0,2,0,0,1,0,0
26/4/15,0,1,0,0,1,0,1,6,0,1,0,0,1,0,0
3/5/15,0,1,0,1,1,0,1,6,0,1,0,0,1,0,0
10/5/15,0,1,0,0,1,0,1,6,0,6,0,0,1,0,0
17/5/15,0,1,0,0,1,0,1,6,0,2,0,0,1,0,0
24/5/15,0,0,0,0,1,0,2,6,0,7,0,0,0,0,0
31/5/15,0,0,0,0,1,0,1,6,0,2,0,0,0,0,0
7/6/15,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0
14/6/15,0,0,100,0,2,0,0,6,0,2,0,0,0,0,0
21/6/15,0,0,24,0,2,0,1,6,0,2,0,0,1,0,0
