Week,Virginia tech shooting,Aurora shooting,Newtown shooting,Navy Yard shooting,Charleston shooting,San Bernardino shooting,Orlando shooting,Vegas shooting
7/12/14,0,0,0,0,0,0,0,0
14/12/14,0,0,0,0,0,0,0,0
21/12/14,0,0,0,0,0,0,0,0
28/12/14,0,0,0,0,0,0,0,0
4/1/15,0,0,0,0,0,0,0,0
11/1/15,0,0,0,0,0,0,0,0
18/1/15,0,0,0,0,0,0,0,0
25/1/15,100,100,94,100,100,58,100,100
1/2/15,86,50,100,43,49,100,57,39
8/2/15,31,26,49,13,29,25,27,20
15/2/15,21,22,45,7,14,11,14,13
22/2/15,13,17,23,4,8,7,8,8
1/3/15,8,12,18,2,5,6,5,6
8/3/15,5,8,12,3,4,4,4,4
15/3/15,5,6,9,2,4,3,3,3
22/3/15,3,5,7,1,4,3,2,3
29/3/15,3,4,5,3,3,2,2,2
5/4/15,2,4,4,3,2,1,2,2
12/4/15,2,3,3,2,2,1,1,2
19/4/15,1,2,3,1,1,1,1,1
26/4/15,1,2,3,1,1,1,1,1
3/5/15,1,1,2,0,1,1,1,1
